sector,site,stack,ktCO2,xCO2,energy_strategy,latitude,longitude,hub,km_hub,land_transport,sea_transport,ccgt_capacity
waste,Ferrybridge FM1,Ferrybridge FM1-waste,645.8199999999999,0.12,Waste-HRSG,53.719365,-1.287615,Humberside,94.7422307012799,truck,,
waste,Ferrybridge FM2,Ferrybridge FM2-waste,641.9,0.12,Waste-HRSG,53.719365,-1.287615,Humberside,94.7422307012799,truck,,
waste,Four Ashes,Four Ashes-waste,324.38,0.12,Waste-HRSG,52.672989,-2.116001,Hynet,109.75375509815846,truck,,
waste,Glasgow ACT,Glasgow ACT-waste,137.2,0.12,Waste-HRSG,55.834585,-4.245209,Peterhead,239.62008587703158,truck,,
waste,Great Blakenham,Great Blakenham-waste,289.1,0.12,Waste-HRSG,52.105101,1.099744,Bacton,87.49052488267348,truck,,
waste,Greatmoor,Greatmoor-waste,270.48,0.12,Waste-HRSG,51.8958,-0.976672,London,90.2207174826211,truck,ship to Bacton,
waste,Hanford,Hanford-waste,181.29999999999998,0.12,Waste-HRSG,52.989244,-2.18323,Hynet,85.2906701100392,truck,,
waste,Hartlebury,Hartlebury-waste,205.79999999999998,0.12,Waste-HRSG,52.325553,-2.207717,Bristol,96.50603758731263,truck,ship to Hynet,
waste,Javelin Park,Javelin Park-waste,184.24,0.12,Waste-HRSG,51.792294,-2.289581,Bristol,42.11112681731947,pipeline,ship to Hynet,
waste,Kemsley,Kemsley-waste,554.68,0.12,Waste-HRSG,51.366744,0.758076,London,43.58887461505531,pipeline,ship to Bacton,
waste,Kirklees,Kirklees-waste,129.35999999999999,0.12,Waste-HRSG,53.656862,-1.777803,Hynet,107.42715023371586,truck,,
waste,Lakeside,Lakeside-waste,404.74,0.12,Waste-HRSG,51.484106,-0.506603,London,46.731464554806905,pipeline,ship to Bacton,
waste,Leeds,Leeds-waste,174.44,0.12,Waste-HRSG,53.787978,-1.502882,Teeside,95.92116314798909,truck,,
waste,Marchwood,Marchwood-waste,204.82,0.12,Waste-HRSG,50.933089,-1.437252,Bristol,109.12356708033076,truck,ship to Hynet,
waste,Millerhill,Millerhill-waste,159.74,0.12,Waste-HRSG,55.924703,-3.086797,Teeside,191.80330767908788,truck,,
waste,Newhaven,Newhaven-waste,207.76,0.12,Waste-HRSG,50.801991,0.049797,London,78.25614867918262,truck,ship to Bacton,
waste,Newhurst,Newhurst-waste,292.04,0.12,Waste-HRSG,52.75843,-1.27661,Humberside,134.50979709735006,truck,,
waste,North Hykeham,North Hykeham-waste,173.46,0.12,Waste-HRSG,53.200006,-0.607789,Humberside,68.13163424920108,truck,,
waste,Parc Adfer,Parc Adfer-waste,202.85999999999999,0.12,Waste-HRSG,53.237243,-3.034834,Hynet,22.25834081549111,pipeline,,
waste,Portsmouth,Portsmouth-waste,186.2,0.12,Waste-HRSG,50.822483,-1.053922,London,113.86027123786984,truck,ship to Bacton,
waste,Riverside,Riverside-waste,774.1999999999999,0.12,Waste-HRSG,51.505735,0.15477,London,0.9996026183802426,pipeline,ship to Bacton,
waste,Rookery South C,Rookery South C-waste,578.2,0.12,Waste-HRSG,52.059275,-0.52298,London,78.10162898735736,truck,ship to Bacton,
waste,Runcorn,Runcorn-waste,931.98,0.12,Waste-HRSG,53.329067,-2.758472,Hynet,37.05318957081401,pipeline,,
waste,SELCHP,SELCHP-waste,383.18,0.12,Waste-HRSG,51.485384,-0.04608,London,14.920102237929717,pipeline,ship to Bacton,
waste,Severnside,Severnside-waste,392.98,0.12,Waste-HRSG,51.541435,-2.669496,Bristol,3.876291017518253,pipeline,ship to Hynet,
waste,Sheffield,Sheffield-waste,226.38,0.12,Waste-HRSG,53.386759,-1.448888,Humberside,108.28088763724762,truck,,
waste,Tees Valley,Tees Valley-waste,688.9399999999999,0.12,Waste-HRSG,54.595654,-1.257639,Teeside,10.002822779004717,pipeline,,
waste,Trident Park,Trident Park-waste,402.78,0.12,Waste-HRSG,51.470048,-3.150368,Bristol,31.43354713761837,pipeline,ship to Hynet,
