site-stack,ktCO2f_yr_baseline,ktCO2bio_yr_baseline,ktCO2f_yr_captured,ktCO2bio_yr_captured,ktCO2_yr_cumulative,ktCO2f_yr_residual,EUR/tCO2
Stanlow Refinery-remaining,349.00983394848,0.0,331.55934225105597,0.0,42852.49376508023,17.450491697424017,186.82760621456
Ketton-cement,668.926674294,0.0,635.4803405793001,0.0,43487.97410565953,33.44633371470003,187.0194468786867
Lindsey Oil Refinery-remaining,172.16719015154402,0.0,163.55883064396681,0.0,43651.5329363035,8.60835950757721,188.3212268977187
Grangemouth Refinery-crackers,203.58509889360005,0.0,193.40584394892005,0.0,43844.93878025242,10.179254944680011,188.5889514458767
Pembroke Refinery-crackers,477.0185781144001,0.0,453.1676492086801,0.0,44298.1064294611,23.850928905720025,189.05889919100994
Pembroke Refinery-smr,281.440961087496,0.0,267.3689130331212,0.0,44565.47534249422,14.072048054374811,191.32875735846847
Grangemouth Refinery-smr,120.115208347224,0.0,114.1094479298628,0.0,44679.58479042408,6.005760417361206,193.38051344027733
Pembroke Refinery-distillation,405.4657913972401,0.0,385.192501827378,0.0,45064.777292251456,20.273289569862023,194.13458440132914
Cauldon Cement-cement,537.1638143700001,0.0,510.30562365149996,0.0,45575.08291590295,26.858190718500026,194.5825762932821
Grangemouth Refinery-power,303.34179735146404,0.0,288.1747074838908,0.0,45863.257623386846,15.167089867573216,194.85291776486855
Grangemouth Refinery-distillation,173.04733405956003,0.0,164.39496735658201,0.0,46027.652590743426,8.65236670297801,194.9656396687068
Pembroke Refinery-power,710.757681390456,0.0,675.2197973209334,0.0,46702.87238806436,35.53788406952283,195.42392722439496
NESS-W2E,45.11430000000001,51.90569999999999,42.858585,49.31041499999999,46795.04138806436,2.255715000000002,195.9986175513373
Pembroke Refinery-remaining,448.3974634275361,0.0,425.97759025615926,0.0,47221.01897832052,22.41987317137682,196.52133196180384
Grangemouth Refinery-remaining,191.36999295998402,0.0,181.80149331198479,0.0,47402.820471632505,9.568499647999209,197.34810642170945
Glasgow ACT-W2E,63.79800000000001,73.40199999999999,60.60809999999999,69.73189999999998,47533.1604716325,3.1899000000000033,197.56599305283024
Ballylumford-CCGT,1098.1275788159999,0.0,1043.2211998752,0.0,48576.381671507705,54.906378940800046,203.86248934159406
Spalding-CCGT,1402.98969039,0.0,1332.8402058705,0.0,49909.22187737821,70.14948451950006,209.52637129720216
Seabank-CCGT,1712.020816098,0.0,1626.4197752931002,0.0,51535.64165267131,85.60104080490008,210.1452648247513
Kings Lynn Power Station-CCGT,639.545885214,0.0,607.5685909533,0.0,52143.210243624606,31.977294260700035,211.724990441294
Shoreham Power Station-CCGT,614.802741792,0.0,584.0626047023999,0.0,52727.272848327004,30.740137089600026,220.03364545035484
Cottam Development Centre-CCGT,579.25373385,0.0,550.2910471575,0.0,53277.563895484505,28.96268669250002,224.7078603790935
Grain CCGT-CCGT,1642.807148286,0.0,1560.6667908717,0.0,54838.230686356204,82.14035741430007,235.22734012252127
Langage Energy Centre-CCGT,1157.633406996,0.0,1099.7517366462,0.0,55937.9824230024,57.881670349800046,238.91798237148762
Peterhead Power Station-CCGT,1350.8951019840001,0.0,1283.3503468848,0.0,57221.3327698872,67.54475509920006,256.52759131028927
Isle of Wight-W2E,4.557000000000001,5.242999999999999,4.32915,4.980849999999999,57230.6427698872,0.22785000000000022,280.91008523067717
Rye House-CCGT,483.424019364,0.0,459.2528183958,0.0,57689.895588283,24.171200968200022,320.851363328164
