site-stack,ktCO2f_yr_baseline,ktCO2bio_yr_baseline,ktCO2f_yr_captured,ktCO2bio_yr_captured,ktCO2_yr_cumulative,ktCO2f_yr_residual,EUR/tCO2
Hooton Park ACT-W2E,37.3674,42.992599999999996,35.499030000000005,40.842969999999994,41282.127701733196,1.8683700000000016,163.33623472790396
Bolton-W2E,36.9117,42.46829999999999,35.066115,40.344885,41357.538701733196,1.8455850000000018,163.8376718416741
Milton Keynes ACT-W2E,36.9117,42.46829999999999,35.066115,40.344885,41432.949701733196,1.8455850000000018,163.8376718416741
Saltend-CCGT,2294.461504098,0.0,2179.7384288931,0.0,43612.688130626295,114.72307520490008,164.9276820439459
Immingham-CCGT,2293.466727078,0.0,2178.7933907240995,0.0,45791.4815213504,114.6733363539001,166.01833217473154
Didcot B-CCGT,2803.31215761,0.0,2663.1465497294994,0.0,48454.6280710799,140.16560788050012,168.99287814896576
Staythorpe Power Station-CCGT,3574.179279096,0.0,3395.4703151412,0.0,51850.0983862211,178.70896395480017,169.41348580477893
Dudley-W2E,31.443300000000008,36.1767,29.871135000000002,34.367864999999995,51914.3373862211,1.5721650000000018,170.82417162919853
Exeter-W2E,28.709100000000007,33.030899999999995,27.273645000000002,31.379354999999993,51972.9903862211,1.4354550000000013,175.1775983320813
Keadby-CCGT,1190.6262548340003,0.0,1131.0949420923002,0.0,53104.0853283134,59.531312741700056,176.9120035142132
Levenseat ACT-W2E,26.430600000000005,30.409399999999998,25.10907,28.888929999999995,53158.0833283134,1.3215300000000014,179.40655937796993
NewLincs-W2E,25.519200000000005,29.360799999999998,24.24324,27.892759999999992,53210.2193283134,1.275960000000001,181.28472684481596
West Burton B CCGT Power Station-CCGT,2345.307607212,0.0,2228.0422268514,0.0,55438.2615551648,117.2653803606001,181.9336984095797
Coolkeeragh-CCGT,760.2091978259999,0.0,722.1987379346999,0.0,56160.460293099495,38.01045989130003,184.71076854457044
Carrington CCGT-CCGT,1761.6960277500002,0.0,1673.6112263625,0.0,57834.071519462,88.0848013875001,189.2198319969249
Ballylumford-CCGT,1098.1275788159999,0.0,1043.2211998752,0.0,58877.2927193372,54.906378940800046,195.18465751806966
Kilroot-CCGT,1115.515014546,0.0,1059.7392638186998,0.0,59937.0319831559,55.77575072730004,207.4012489009649
Kings Lynn Power Station-CCGT,639.545885214,0.0,607.5685909533,0.0,60544.6005741092,31.977294260700035,208.8953361323517
Spalding-CCGT,1402.98969039,0.0,1332.8402058705,0.0,61877.440779979705,70.14948451950006,210.93094714802734
Seabank-CCGT,1712.020816098,0.0,1626.4197752931002,0.0,63503.860555272804,85.60104080490008,215.25378752841337
Eco Park ACT-W2E,14.582400000000002,16.777599999999996,13.85328,15.938719999999996,63533.652555272805,0.7291200000000005,219.6613872275397
Energy Works ACT-W2E,14.126700000000001,16.253299999999996,13.420365,15.440634999999999,63562.5135552728,0.7063350000000007,222.41962449641665
Shoreham Power Station-CCGT,614.802741792,0.0,584.0626047023999,0.0,64146.5761599752,30.740137089600026,223.97160533007312
