Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code
Greencoat Capital,Malmaynes,Solar,PV,No,Solar,, 14.8 ,LV,England,South East,ME39SQ,,580664.0,175335.0,2015,SOL-000839
Greencoat Capital,Littlewood,Solar,PV,No,Solar,, 13.7 ,LV,England,South East,MK197NF,,482105.0,247071.0,2015,SOL-000840
Greencoat Capital,Moat Farm,Solar,PV,No,Solar,, 4.6 ,LV,England,East Midlands,DN228QX,,466600.0,384353.0,2015,SOL-000841
Greencoat Capital,Upper Farm,Solar,PV,No,Solar,, 10.0 ,LV,England,South East,SO249RY,,463453.0,141758.0,2015,SOL-000843
Greencoat Capital,Rhydypandy,Solar,PV,No,Solar,, 6.4 ,LV,Wales,Wales,SA66NX,,265957.0,200658.0,2015,SOL-000844
Greencoat Capital,Wilton,Solar,PV,No,Solar,, 9.5 ,LV,England,South West,PL125BX,,231509.0,58873.0,2015,SOL-000846
Greencoat Capital,Hoplass,Solar,PV,No,Solar,, 10.3 ,LV,Wales,Wales,SA715TG,,190875.0,200362.0,2015,SOL-000848
Greencoat Capital,Radstone,Solar,PV,No,Solar,, 5.2 ,LV,England,East Midlands,NN135PY,,458697.0,239909.0,2015,SOL-000851
Greencoat Capital,Hendre Fawr,Solar,PV,No,Solar,, 11.6 ,LV,Wales,Wales,CF449RJ,,291347.0,206062.0,2015,SOL-000852
Greencoat Capital,Aston House,Solar,PV,No,Solar,, 19.8 ,LV,England,East Midlands,"DE6 5AG	 	 ","DE65AG		",416833.0,331778.0,2015,SOL-000853
Greencoat Capital,Morton Solar,Solar,PV,No,Solar,, 28.1 ,LV,England,East Midlands,DN228HD,,467120.0,379462.0,2015,SOL-000854
Greencoat Capital,Welbeck,Solar,PV,No,Solar,, 16.0 ,LV,England,East Midlands,NG229EY,,460619.0,372696.0,2015,SOL-000857
Greencoat Capital,Gedulah,Solar,PV,No,Solar,, 18.3 ,LV,England,North West,CA73JU,NY1485143478,314851.0,543478.0,2015,SOL-000861
Greencoat Capital,Rolleston,Solar,PV,No,Solar,, 18.0 ,LV,England,West Midlands,DE139HH,,421291.0,326955.0,2015,SOL-000875
Greencoat Capital,Bentham,Solar,PV,No,Solar,, 11.1 ,LV,England,South West,SN54JB,,407114.0,189633.0,2015,SOL-000876
